Josip Hatze,Pietro Mascagni
Philip Ledger,Basil Harwood
Philip Ledger,Benjamin Britten
Philip Ledger,Edward Bairstow
Philip Ledger,George Dyson (composer)
Philip Ledger,George Frideric Handel
Philip Ledger,Gerald Finzi
Philip Ledger,Henry Purcell
Philip Ledger,Herbert Howells
Philip Ledger,Hubert Parry
Philip Ledger,John Blow
Philip Ledger,John Ireland (composer)
Philip Ledger,John Stainer
Philip Ledger,John Tavener
Philip Ledger,Kenneth Leighton
Philip Ledger,Lennox Berkeley
Philip Ledger,Orlando Gibbons
Philip Ledger,Ralph Vaughan Williams
Philip Ledger,Samuel Wesley
Philip Ledger,Thomas Tomkins
Philip Ledger,William Mathias
Philip Ledger,William Walton
Leopold Mozart,Antonio Salieri
Leopold Mozart,Johann Sebastian Bach
Leopold Mozart,Joseph Haydn
Leopold Mozart,Wolfgang Amadeus Mozart
Jan Václav Voříšek,Alexander Dargomyzhsky
Jan Václav Voříšek,Anton Bruckner
Jan Václav Voříšek,Bedřich Smetana
Jan Václav Voříšek,Bettina von Arnim
Jan Václav Voříšek,Carl Loewe
Jan Václav Voříšek,Carl Maria von Weber
Jan Václav Voříšek,Clara Schumann
Jan Václav Voříšek,César Franck
Jan Václav Voříšek,Daniel Auber
Jan Václav Voříšek,E. T. A. Hoffmann
Jan Václav Voříšek,Fanny Mendelssohn
Jan Václav Voříšek,Ferdinand David (musician)
Jan Václav Voříšek,Franz Liszt
Jan Václav Voříšek,Friedrich Kalkbrenner
Jan Václav Voříšek,Frédéric Chopin
Jan Václav Voříšek,Félicien David
Jan Václav Voříšek,Gabriel Fauré
Jan Václav Voříšek,Gaetano Donizetti
Jan Václav Voříšek,Gaspare Spontini
Jan Václav Voříšek,George Onslow (composer)
Jan Václav Voříšek,Giacomo Meyerbeer
Jan Václav Voříšek,Gioachino Rossini
Jan Václav Voříšek,Giuseppe Verdi
Jan Václav Voříšek,Hector Berlioz
Jan Václav Voříšek,Heinrich Marschner
Jan Václav Voříšek,Jean-Jacques Rousseau
Jan Václav Voříšek,Johann Nepomuk Hummel
Jan Václav Voříšek,José Melchor Gomis
Jan Václav Voříšek,Louis Niedermeyer
Jan Václav Voříšek,Louis Spohr
Jan Václav Voříšek,Ludwig van Beethoven
Jan Václav Voříšek,Luigi Cherubini
Jan Václav Voříšek,Modest Mussorgsky
Jan Václav Voříšek,Niccolò Paganini
Jan Václav Voříšek,Nikolai Rimsky-Korsakov
Jan Václav Voříšek,Richard Wagner
Jan Václav Voříšek,Robert Franz
Jan Václav Voříšek,Robert Schumann
Jan Václav Voříšek,Sigismond Thalberg
Jan Václav Voříšek,Stanisław Moniuszko
Jan Václav Voříšek,Vincenzo Bellini
Jan Václav Voříšek,Émile Prudent
Jan Václav Voříšek,Étienne Méhul
Ferdinand Fränzl,Franz Xaver Richter
Ferdinand Fränzl,Ignaz Fränzl
Ferdinand Fränzl,Joseph Haydn
Ferdinand Fränzl,Louis Spohr
Iver Holter,Christian Sinding
Iver Holter,Edvard Grieg
Iver Holter,Johan Halvorsen
Michelagnolo Galilei,Diomedes Cato
Michelagnolo Galilei,Vincenzo Galilei
Boris Koutzen,Reinhold Glière
Boris Koutzen,Serge Koussevitzky
Riccardo Drigo,Alexander Glazunov
Riccardo Drigo,Cesare Pugni
Riccardo Drigo,Gaetano Donizetti
Riccardo Drigo,Giuseppe Verdi
Riccardo Drigo,Leopold Auer
Riccardo Drigo,Pyotr Ilyich Tchaikovsky
Riccardo Drigo,Raoul Gunsbourg
Louis Andriessen,Aaron Copland
Louis Andriessen,Aldo Clementi
Louis Andriessen,Arne Mellnäs
Louis Andriessen,Arnold Schoenberg
Louis Andriessen,Arvo Pärt
Louis Andriessen,Bruno Maderna
Louis Andriessen,Charles Wuorinen
Louis Andriessen,Chinary Ung
Louis Andriessen,Claus-Steffen Mahnkopf
Louis Andriessen,Costin Miereanu
Louis Andriessen,Daniel Lentz
Louis Andriessen,Darius Milhaud
Louis Andriessen,Denis ApIvor
Louis Andriessen,Dick Raaymakers
Louis Andriessen,Diderik Wagenaar
Louis Andriessen,Ernst Krenek
Louis Andriessen,Fabio Vacchi
Louis Andriessen,Friedrich Nietzsche
Louis Andriessen,George Tsontakis
Louis Andriessen,Gottfried Michael Koenig
Louis Andriessen,Guus Janssen
Louis Andriessen,György Kurtág
Louis Andriessen,György Ligeti
Louis Andriessen,Harrison Birtwistle
Louis Andriessen,Hendrik Andriessen
Louis Andriessen,Henri Pousseur
Louis Andriessen,Henryk Górecki
Louis Andriessen,Ib Nørholm
Louis Andriessen,Igor Stravinsky
Louis Andriessen,Jacques Calonne
Louis Andriessen,Jan Vriend
Louis Andriessen,Jean Barraqué
Louis Andriessen,Joan Tower
Louis Andriessen,Johann Sebastian Bach
Louis Andriessen,John McGuire (composer)
Louis Andriessen,John Tavener
Louis Andriessen,Josef Matthias Hauer
Louis Andriessen,Juan Carlos Paz
Louis Andriessen,Jurriaan Andriessen (composer)
Louis Andriessen,Jürg Baur
Louis Andriessen,Karlheinz Stockhausen
Louis Andriessen,Klaas de Vries (composer)
Louis Andriessen,Klas Torstensson
Louis Andriessen,Krzysztof Penderecki
Louis Andriessen,La Monte Young
Louis Andriessen,Luciano Berio
Louis Andriessen,Ludwig van Beethoven
Louis Andriessen,Luigi Dallapiccola
Louis Andriessen,Luigi Nono
Louis Andriessen,Michael Nyman
Louis Andriessen,Michel van der Aa
Louis Andriessen,Nikos Skalkottas
Louis Andriessen,Pauline Oliveros
Louis Andriessen,Peter Schat
Louis Andriessen,Pierre Boulez
Louis Andriessen,Richard Barrett (composer)
Louis Andriessen,Régis Campo
Louis Andriessen,Simeon ten Holt
Louis Andriessen,Terry Riley
Louis Andriessen,Tristan Keuris
Louis Andriessen,Vinko Globokar
Louis Andriessen,Willem Andriessen
Louis Andriessen,Yannis Kyriakides
Louis Andriessen,York Höller
Louis Andriessen,Yoshiaki Onishi
Louis Andriessen,Șerban Nichifor
Nathan Currier,Bernard Rands
Nathan Currier,David Diamond (composer)
Roger Briggs,Peter Maxwell Davies
Roger Briggs,Samuel Adler (composer)
Ernst Gottlieb Baron,Georg Philipp Telemann
Ernst Gottlieb Baron,Sylvius Leopold Weiss
Catherine Murphy Urner,Charles Koechlin
Osian Ellis,Albert Roussel
Osian Ellis,Alun Hoddinott
Osian Ellis,Benjamin Britten
Osian Ellis,Claude Debussy
Osian Ellis,George Frideric Handel
Osian Ellis,Guy Ropartz
Osian Ellis,Peter Maxwell Davies
Osian Ellis,Robin Holloway
